model_name,sampling,fold,ACC,Precision,NPV,Sn,Sp,MCC,F1,AUC,AUPR,TN,FP,FN,TP
GRU_EN306_RUS,RUS,1,0.823529,0.75,0.870968,0.789474,0.84375,0.627066,0.769231,0.915296,0.875042,108.0,20.0,16.0,60.0
GRU_EN306_RUS,RUS,2,0.848039,0.771084,0.900826,0.842105,0.851562,0.682703,0.805031,0.922595,0.882434,109.0,19.0,12.0,64.0
GRU_EN306_RUS,RUS,3,0.838235,0.772152,0.88,0.802632,0.859375,0.657061,0.787097,0.91509,0.875344,110.0,18.0,15.0,61.0
GRU_EN306_RUS,RUS,4,0.838235,0.765432,0.886179,0.815789,0.851562,0.659435,0.789809,0.928146,0.8844,109.0,19.0,14.0,62.0
GRU_EN306_RUS,RUS,5,0.833333,0.8,0.850746,0.736842,0.890625,0.639001,0.767123,0.911698,0.87011,114.0,14.0,20.0,56.0
GRU_EN306_SMOTE,SMOTE,1,0.843137,0.768293,0.893443,0.828947,0.851562,0.671057,0.797468,0.929276,0.895025,109.0,19.0,13.0,63.0
GRU_EN306_SMOTE,SMOTE,2,0.848039,0.771084,0.900826,0.842105,0.851562,0.682703,0.805031,0.930099,0.892436,109.0,19.0,12.0,64.0
GRU_EN306_SMOTE,SMOTE,3,0.828431,0.746988,0.884298,0.815789,0.835937,0.641425,0.779874,0.929174,0.894683,107.0,21.0,14.0,62.0
GRU_EN306_SMOTE,SMOTE,4,0.848039,0.792208,0.88189,0.802632,0.875,0.675862,0.797386,0.92866,0.888166,112.0,16.0,15.0,61.0
GRU_EN306_SMOTE,SMOTE,5,0.848039,0.777778,0.894309,0.828947,0.859375,0.680156,0.802548,0.92979,0.895067,110.0,18.0,13.0,63.0
